SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,WEEKDAY_APPR_PROCESS_START,AMT_INCOME_TOTAL,AMT_CREDIT,REGION_POPULATION_RELATIVE,DAYS_BIRTH,LIVINGAREA_MEDI
100002,1,Cash loans,M,N,Y,0,WEDNESDAY,AMT_INCOME_TOTAL,406597.5,0.018801,-9461,0.0193
100003,0,Cash loans,F,N,N,0,MONDAY,AMT_INCOME_TOTAL,1293502.5,0.003541,-16765,0.0558
100004,0,Revolving loans,M,Y,Y,0,MONDAY,AMT_INCOME_TOTAL,135000,0.010032,-19046,
100006,0,Cash loans,F,N,Y,0,WEDNESDAY,AMT_INCOME_TOTAL,312682.5,0.008019,-19005,
100007,0,Cash loans,M,N,Y,0,THURSDAY,AMT_INCOME_TOTAL,513000,0.028663,-19932,
100008,0,Cash loans,M,N,Y,0,WEDNESDAY,AMT_INCOME_TOTAL,490495.5,0.035792,-16941,
100009,0,Cash loans,F,Y,Y,1,SUNDAY,AMT_INCOME_TOTAL,1560726,0.035792,-13778,
100010,0,Cash loans,M,Y,Y,0,MONDAY,AMT_INCOME_TOTAL,1530000,0.003122,-18850,
100011,0,Cash loans,F,N,Y,0,WEDNESDAY,AMT_INCOME_TOTAL,1019610,0.018634,-20099,
100012,0,Revolving loans,M,N,Y,0,THURSDAY,AMT_INCOME_TOTAL,405000,0.019689,-14469,
100014,0,Cash loans,F,N,Y,1,SATURDAY,AMT_INCOME_TOTAL,652500,0.0228,-10197,
100015,0,Cash loans,F,N,Y,0,FRIDAY,AMT_INCOME_TOTAL,148365,0.015221,-20417,
100016,0,Cash loans,F,N,Y,0,FRIDAY,AMT_INCOME_TOTAL,80865,0.031329,-13439,0.0792
100017,0,Cash loans,M,Y,N,1,THURSDAY,AMT_INCOME_TOTAL,918468,0.016612,-14086,0.1422
100018,0,Cash loans,F,N,Y,0,MONDAY,AMT_INCOME_TOTAL,773680.5,0.010006,-14583,0.3842
100019,0,Cash loans,M,Y,Y,0,SATURDAY,AMT_INCOME_TOTAL,299772,0.020713,-8728,
100020,0,Cash loans,M,N,N,0,THURSDAY,AMT_INCOME_TOTAL,509602.5,0.018634,-12931,
100021,0,Revolving loans,F,N,Y,1,MONDAY,AMT_INCOME_TOTAL,270000,0.010966,-9776,
100022,0,Revolving loans,F,N,Y,0,FRIDAY,AMT_INCOME_TOTAL,157500,0.04622,-17718,0.0295
100023,0,Cash loans,F,N,Y,1,MONDAY,AMT_INCOME_TOTAL,544491,0.015221,-11348,
100024,0,Revolving loans,M,Y,Y,0,FRIDAY,AMT_INCOME_TOTAL,427500,0.015221,-18252,0.063
100025,0,Cash loans,F,Y,Y,1,MONDAY,AMT_INCOME_TOTAL,1132573.5,0.025164,-14815,
100026,0,Cash loans,F,N,N,1,THURSDAY,AMT_INCOME_TOTAL,497520,0.020713,-11146,0.0889
100027,0,Cash loans,F,N,Y,0,FRIDAY,AMT_INCOME_TOTAL,239850,0.006296,-24827,0.151
