id,  VisitDateTime,  ProductID
0,  2018-05-07 04:28:45.970,  pr100631
1,  2018-05-13 07:26:04.964,  pr100707
2,  2018-05-11 11:43:42.832,  pr100030
3,  2018-05-13 15:20:23.436,  Pr100192
4,  2018-05-08 20:44:25.238,  Pr100762
5,  2018-05-24 13:10:32.908,  pr100109
6,  2018-05-23 14:52:18.564,  pr100020
7,  2018-05-13 03:13:21.958,  Pr101495
8,  2018-05-10 02:04:54.844,  Pr100013
9,  2018-05-25 13:40:03.094,  Pr101701
10,  2018-05-27 05:35:31.253,  Pr100025
11,  2018-05-16 11:56:33.028,  Pr100896
12,  2018-05-23 18:40:27.934,  Pr100086
13,  1527051855673000000,  Pr100526
14,  1526366895249000000,  Pr100017
15,  2018-05-08 16:53:59.632,  pr100157
16,  2018-05-27 07:16:57.625,  pr100469
17,  1526982800506000000,  Pr100681
18,  2018-05-16 16:07:32.948,  Pr100086
19,  2018-05-08 02:35:40.805,  Pr100157
20,  2018-05-17 16:12:56.364,  Pr100401
21,  1527058921790000000,  Pr101008
22,  2018-05-07 04:39:52.046,  pr100540
23,  2018-05-10 06:28:53.391,  Pr100241
24,  2018-05-08 12:40:02.153,  pr100495
25,  NaN,  NaN
26,  2018-05-18 16:23:34.362,  pr101042
27,  2018-05-20 09:47:18.678,  Pr100209
28,  1527006131946000000,  Pr100558
29,  1526674008726000000,  Pr100081
30,  2018-05-21 02:40:25.144,  Pr100266
31,  2018-05-08 10:21:22.640,  pr101651
32,  2018-05-12 17:04:29.657,  pr100071
33,  2018-05-11 15:35:43.689,  Pr100363
34,  2018-05-21 08:16:36.643,  Pr100188
35,  1525890934291000000,  Pr102804
36,  2018-05-08 14:35:56.778,  Pr100124
37,  2018-05-26 21:24:47.869,  Pr100234
38,  2018-05-09 12:08:21.014,  pr100002
39,  2018-05-13 07:30:44.738,  pr101013
40,  2018-05-24 06:06:40.450,  pr100185
41,  2018-05-25 20:53:00.295,  NaN
42,  2018-05-23 05:49:12.213,  Pr100015
